last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Arcia, Orlando,606115,158,MIL,SS,24,180,4.44,26.8
Dozier, Brian,572821,119,LAD,2B,31,234,4.44,26.8
McGuire, Reese,624512,141,TOR,C,23,13,,26.8
Mazara, Nomar,608577,140,TEX,RF,23,231,4.32,26.8
Martinez, J.D.,502110,111,BOS,DH,31,260,4.45,26.8
Zimmerman, Ryan,475582,120,WSH,1B,34,144,4.44,26.7
Trahan, Blake,664167,113,CIN,SS,25,7,,26.7
Braun, Ryan,460075,158,MIL,LF,35,211,4.42,26.7
Abreu, Jose,547989,145,CWS,1B,31,207,4.53,26.7
Piscotty, Stephen,572039,133,OAK,RF,27,258,4.42,26.7
Jones, Adam,430945,110,BAL,CF,33,247,4.53,26.7
Herrera, Odubel,546318,143,PHI,CF,27,217,4.21,26.7
Zobrist, Ben,450314,112,CHC,RF,37,236,4.36,26.7
Freeman, Freddie,518692,144,ATL,1B,29,274,4.44,26.7
Urshela, Gio,570482,141,TOR,SS,27,15,,26.7
Marte, Jefry,527043,108,LAA,1B,27,98,4.46,26.7
Shaw, Travis,543768,158,MIL,3B,28,175,4.41,26.7
Lowrie, Jed,476704,133,OAK,2B,34,205,4.45,26.7
Rodriguez, Sean,446481,134,PIT,2B,33,45,4.59,26.6
La Stella, Tommy,600303,112,CHC,3B,29,90,4.37,26.6
Joseph, Corban,543377,110,BAL,1B,30,7,,26.6
Gattis, Evan,594828,117,HOU,DH,32,151,4.59,26.6
Farmer, Kyle,571657,119,LAD,3B,28,23,4.49,26.6
Arroyo, Christian,624414,139,TB,3B,23,30,4.60,26.6
Kinsler, Ian,435079,111,BOS,2B,36,227,4.53,26.6
Blandino, Alex,607468,113,CIN,2B,26,48,4.64,26.6
Sogard, Eric,519299,158,MIL,SS,32,45,4.36,26.6
Cozart, Zack,446359,108,LAA,3B,33,97,4.45,26.6
Turner, Justin,457759,119,LAD,3B,34,186,4.62,26.6
Valentin, Jesmuel,621044,143,PHI,3B,24,27,,26.6
O'Brien, Peter,598284,146,MIA,1B,28,20,4.50,26.6
Diaz, Elias,553869,134,PIT,C,28,119,4.55,26.6
Parra, Gerardo,467827,115,COL,LF,31,184,4.31,26.6
Smith, Kevan,607345,145,CWS,C,30,111,4.63,26.6
Palka, Daniel,594953,145,CWS,DH,27,150,4.41,26.5
Walker, Neil,435522,147,NYY,1B,33,113,4.44,26.5
Sardinas, Luis,596143,110,BAL,2B,25,9,,26.5
Flaherty, Ryan,475247,144,ATL,3B,32,86,4.42,26.5
Briceno, Jose,593993,108,LAA,C,26,41,4.59,26.5
Freese, David,501896,119,LAD,3B,35,130,4.40,26.5
Rojas, Miguel,500743,146,MIA,SS,29,216,4.47,26.5
Hicks, John,543308,116,DET,1B,29,111,4.43,26.5
Martinez, Jose,500874,138,STL,1B,30,255,4.51,26.5
Motter, Taylor,600301,142,MIN,1B,29,17,4.55,26.5
Calhoun, Willie,641432,140,TEX,LF,24,41,4.54,26.5
Mejia, Francisco,642336,135,SD,C,23,19,,26.5
Carpenter, Matt,572761,138,STL,3B,33,169,4.40,26.5
Valencia, Danny,502143,110,BAL,3B,34,106,4.55,26.5
Goins, Ryan,572365,118,KC,2B,30,55,4.44,26.5
Guerrero, Gabriel,602115,113,CIN,CF,25,6,,26.5
Chisenhall, Lonnie,502082,114,CLE,RF,30,38,4.48,26.5
Guillorme, Luis,641645,121,NYM,3B,24,35,4.29,26.4
Davis, J.D.,605204,117,HOU,3B,25,41,4.55,26.4
Gennett, Scooter,571697,113,CIN,2B,28,249,4.39,26.4
Joseph, Caleb,543376,110,BAL,C,32,102,4.60,26.4
Kelly, Ty,571841,121,NYM,LF,30,5,,26.4
Vargas, Ildemaro,545121,109,ARI,3B,27,7,,26.4
Gonzalez, Marwin,503556,117,HOU,LF,29,187,4.40,26.4
Markakis, Nick,455976,144,ATL,RF,35,299,4.40,26.4
Romine, Austin,519222,147,NYY,C,30,104,4.49,26.4
Morrison, Logan,489149,142,MIN,1B,31,98,4.56,26.4
Smith Jr, Dwight,596105,141,TOR,LF,26,36,4.44,26.4
Garver, Mitch,641598,142,MIN,C,27,138,4.53,26.3
Holt, Brock,571788,111,BOS,2B,30,168,4.39,26.3
Kramer, Kevin,596012,134,PIT,2B,25,9,,26.3
Haase, Eric,606992,114,CLE,C,26,7,,26.3
Cron, C.J.,543068,139,TB,DH,28,186,4.58,26.3
Camargo, Johan,622666,144,ATL,3B,25,197,4.45,26.3
Hoskins, Rhys,656555,143,PHI,LF,25,175,4.56,26.3
Smith, Dominic,642086,121,NYM,1B,23,47,4.50,26.3
Tucker, Kyle,663656,117,HOU,LF,21,24,,26.3
Kendrick, Howie,435062,120,WSH,2B,35,69,4.53,26.3
Machado, Manny,592518,119,LAD,SS,26,269,4.62,26.3
Voit, Luke,572228,147,NYY,1B,27,48,4.62,26.3
Pederson, Joc,592626,119,LAD,LF,26,156,4.34,26.3
Kemp, Matt,461314,119,LAD,LF,34,181,4.52,26.3
Hosmer, Eric,543333,135,SD,1B,29,307,4.46,26.3
Gomez, Miguel,622497,137,SF,2B,26,8,,26.2
Guzman, Ronald,608597,140,TEX,1B,24,147,4.48,26.2
Marjama, Mike,605357,136,SEA,C,29,16,,26.2
Beckham, Gordon,493596,136,SEA,2B,32,19,,26.2
Trumbo, Mark,444432,110,BAL,DH,32,116,4.66,26.2
Alvarez, Pedro,476883,110,BAL,DH,31,38,4.54,26.2
Pearce, Steve,456665,111,BOS,1B,35,115,4.55,26.2
Phillips, Brandon,408252,111,BOS,2B,37,14,,26.2
Petit, Gregorio,463610,142,MIN,2B,34,23,4.41,26.2
Suarez, Eugenio,553993,113,CIN,3B,27,185,4.62,26.2
