last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Camargo, Johan,622666,2019,248,190,0.233,0.249,-0.016,0.384,0.361,0.023,0.279,0.282,-0.003
Engel, Adam,641553,2019,248,150,0.242,0.225,0.017,0.383,0.342,0.041,0.296,0.275,0.021
Diaz, Aledmys,649557,2019,247,188,0.271,0.268,0.003,0.467,0.423,0.044,0.345,0.339,0.006
Cordell, Ryan,641477,2019,247,155,0.222,0.213,0.009,0.356,0.358,-0.002,0.279,0.274,0.005
Frazier, Clint,640449,2019,246,158,0.267,0.245,0.022,0.489,0.459,0.03,0.333,0.315,0.018
Perez, Hernan,541650,2019,246,169,0.228,0.218,0.01,0.379,0.336,0.043,0.271,0.257,0.014
Mejia, Francisco,642336,2019,244,171,0.265,0.229,0.036,0.438,0.381,0.057,0.317,0.285,0.032
Mathis, Jeff,425772,2019,244,142,0.158,0.166,-0.008,0.224,0.226,-0.002,0.19,0.196,-0.006
Barnes, Austin,605131,2019,242,158,0.203,0.193,0.01,0.34,0.302,0.038,0.272,0.258,0.014
Haseley, Adam,656514,2019,242,163,0.266,0.223,0.043,0.396,0.331,0.065,0.309,0.266,0.043
Russell, Addison,608365,2019,241,160,0.237,0.224,0.013,0.391,0.354,0.037,0.297,0.285,0.012
Beckham, Gordon,493596,2019,240,155,0.215,0.227,-0.012,0.372,0.39,-0.018,0.274,0.285,-0.011
Romine, Austin,519222,2019,240,180,0.281,0.264,0.017,0.439,0.433,0.006,0.315,0.305,0.01
Joyce, Matt,459964,2019,238,155,0.295,0.271,0.024,0.45,0.443,0.007,0.372,0.36,0.012
Robertson, Daniel,621002,2019,237,148,0.213,0.212,0.001,0.295,0.294,0.001,0.275,0.276,-0.001
Adrianza, Ehire,501303,2019,236,168,0.272,0.264,0.008,0.416,0.393,0.023,0.326,0.323,0.003
Casali, Curt,592200,2019,236,151,0.251,0.235,0.016,0.411,0.396,0.015,0.316,0.309,0.007
Heredia, Guillermo,628338,2019,231,147,0.225,0.248,-0.023,0.363,0.346,0.017,0.291,0.298,-0.007
Inciarte, Ender,542255,2019,230,159,0.246,0.235,0.011,0.397,0.32,0.077,0.318,0.29,0.028
Broxton, Keon,542979,2019,228,103,0.167,0.167,0,0.275,0.287,-0.012,0.229,0.235,-0.006
Cave, Jake,595909,2019,228,128,0.258,0.263,-0.005,0.455,0.486,-0.031,0.343,0.36,-0.017
Solano, Donovan,456781,2019,228,168,0.33,0.316,0.014,0.456,0.45,0.006,0.346,0.339,0.007
Lamb, Jake,571875,2019,226,134,0.193,0.229,-0.036,0.353,0.429,-0.076,0.297,0.34,-0.043
Aquino, Aristides,606157,2019,225,147,0.259,0.25,0.009,0.576,0.501,0.075,0.36,0.334,0.026
Greiner, Grayson,606988,2019,224,140,0.202,0.197,0.005,0.308,0.325,-0.017,0.242,0.246,-0.004
Kiner-Falefa, Isiah,643396,2019,222,155,0.238,0.225,0.013,0.322,0.3,0.022,0.272,0.258,0.014
Hechavarria, Adeiny,588751,2019,221,156,0.241,0.237,0.004,0.443,0.409,0.034,0.312,0.302,0.01
Freeman, Mike,502273,2019,213,126,0.277,0.219,0.058,0.39,0.303,0.087,0.327,0.281,0.046
Bichette, Bo,666182,2019,212,147,0.311,0.273,0.038,0.571,0.472,0.099,0.384,0.335,0.049
Smith, Kevan,607345,2019,211,155,0.251,0.292,-0.041,0.393,0.454,-0.061,0.306,0.346,-0.04
Vargas, Ildemaro,545121,2019,211,178,0.269,0.255,0.014,0.413,0.359,0.054,0.3,0.278,0.022
Stallings, Jacob,607732,2019,210,152,0.262,0.259,0.003,0.382,0.423,-0.041,0.297,0.313,-0.016
Astudillo, Willians,553902,2019,204,186,0.268,0.288,-0.02,0.379,0.423,-0.044,0.288,0.32,-0.032
France, Ty,664034,2019,201,136,0.234,0.233,0.001,0.402,0.393,0.009,0.296,0.293,0.003
Morales, Kendrys,434778,2019,201,145,0.194,0.273,-0.079,0.253,0.445,-0.192,0.264,0.364,-0.1
Avila, Alex,488671,2019,201,96,0.207,0.229,-0.022,0.421,0.502,-0.081,0.323,0.357,-0.034
Diaz, Isan,656371,2019,201,121,0.173,0.183,-0.01,0.307,0.321,-0.014,0.248,0.258,-0.01
Sisco, Chance,642082,2019,198,106,0.21,0.223,-0.013,0.395,0.418,-0.023,0.319,0.332,-0.013
Farmer, Kyle,571657,2019,197,125,0.23,0.227,0.003,0.41,0.392,0.018,0.289,0.282,0.007
Starling, Bubba,605490,2019,197,131,0.215,0.216,-0.001,0.317,0.307,0.01,0.247,0.246,0.001
Smith, Dominic,642086,2019,197,133,0.282,0.246,0.036,0.525,0.445,0.08,0.368,0.327,0.041
Smith, Will,669257,2019,196,121,0.253,0.225,0.028,0.571,0.452,0.119,0.369,0.323,0.046
Owings, Chris,572008,2019,196,102,0.139,0.179,-0.04,0.233,0.29,-0.057,0.198,0.237,-0.039
Descalso, Daniel,518614,2019,194,113,0.173,0.194,-0.021,0.25,0.299,-0.049,0.238,0.265,-0.027
Slater, Austin,596103,2019,192,109,0.238,0.239,-0.001,0.417,0.445,-0.028,0.32,0.331,-0.011
Leon, Sandy,506702,2019,191,130,0.192,0.181,0.011,0.297,0.256,0.041,0.24,0.228,0.012
Zimmerman, Ryan,475582,2019,190,134,0.257,0.248,0.009,0.415,0.447,-0.032,0.313,0.321,-0.008
Dickerson, Alex,543105,2019,190,133,0.276,0.271,0.005,0.489,0.476,0.013,0.341,0.342,-0.001
Dean, Austin,621573,2019,189,133,0.225,0.256,-0.031,0.404,0.425,-0.021,0.276,0.299,-0.023
Rickard, Joey,572073,2019,189,118,0.226,0.212,0.014,0.357,0.316,0.041,0.29,0.273,0.017
Healy, Ryon,592387,2019,187,133,0.237,0.244,-0.007,0.456,0.453,0.003,0.308,0.324,-0.016
Demeritte, Travis,641513,2019,186,108,0.225,0.229,-0.004,0.343,0.357,-0.014,0.272,0.279,-0.007
Freese, David,501896,2019,186,118,0.315,0.288,0.027,0.599,0.527,0.072,0.415,0.382,0.033
Kang, Jung Ho,628356,2019,185,113,0.169,0.215,-0.046,0.395,0.425,-0.03,0.256,0.29,-0.034
Wieters, Matt,446308,2019,183,123,0.214,0.223,-0.009,0.435,0.41,0.025,0.292,0.289,0.003
